時間戳記,檔案版本,暱稱,縣市區,路名（區域）,數量,派送時間,發送狀況,備註,已整理過請打勾
2014/4/21 下午 6:39:49,監督條例比一比,恰飛,新北市板橋區,漢生東路299巷單雙號 和長安街138巷單雙號,約100份,4/21/2014,順利,,
2014/4/21 下午 6:58:24,看病,,台北市大安區,安和路二段181 191 209巷,80,4/21/2014,,,
2014/4/21 下午 7:44:59,Bee140415C-電信,甜蜜蜜,台北市北投區,石牌路一段166巷→致遠→→致遠一路二段112巷一路二段111巷,80,4/17/2014,半夜發送，街道幾乎沒有行人，順利發送完畢,,
2014/4/21 下午 8:54:25,熊服貿,SY,台北市,光輝路71巷、忠順街一段41巷、光輝路59~100號、下崙路28巷,200,4/21/2014,投信箱,尚可,
2014/4/21 下午 9:34:31,Bee140405B+醫療版,社頭小蜜蜂,彰化縣社頭鄉,社石路部分路段,200,4/12/2014,投入信箱,,
2014/4/21 下午 9:36:05,看病,,台北市大安區,忠孝東路四段216巷11街 248巷靠近忠孝2棟公寓,80,4/21/2014,,,
2014/4/21 下午 10:04:29,監督條例x醫療雙面,阿囧,新北市汐止區,水源路二段110巷,24,04/21/2014,順利,,
2014/4/21 下午 11:03:17,醫療版+房價版,Iris,三重區,富福街及碧華街前半段,150,04/13/2014,"塞信箱的方式。
因為只剩150份，很快就塞完了
所以這2條街都只發了前半段(未過五華街)","有些信箱在連燈都沒有的公共樓梯裡，
因為我一個女生半夜12點去，所以就沒進去塞了
提醒大家要注意。
太滿太舊的信箱(感覺沒人在收信)的，我也沒放
我是印兩種版本交替塞信箱，所以住隔壁也可能拿到不一樣的版本
希望鄰居如果有討論到就可以互相交流這樣(希望)",
2014/4/21 下午 11:46:06,Bee140409 條例比較版,左手太陽花,桃園縣桃園市,泰成路 從46號開始到尾端；泰成路60、62、81、45巷；45巷10弄,150,4/18/2014,順利，投遞至信箱,"發放版本非最終版，不確定是第幾版
回家聽我媽說那邊很藍XD",
2014/4/22 上午 12:03:33,總部第二波醫療版文宣  B. 監督條例 民間版vs政府版比較,田中太郎,土城區,金城路2段354巷清水路235巷3弄,各200,2014/04/22,,,
2014/4/22 上午 12:28:41,20140409v3/Bee140409M醫療版,野生小蜜蜂,台北市大同區,大龍街300巷至重慶北路三段257巷,各50,04/22/2014,半夜塞信箱，一切良好。,,
2014/4/22 上午 6:38:41,服貿對看病有什麼影響？（滿早的版本,FUMI,台北市,中山北路154巷小巷子連到190巷4弄,50,04/22/2014,"數量有點少^q^qqq!!!
另有150份放至台北市士林區中山北路７段１７號２樓、３樓的高醫師家庭醫學科診所，直接在診所供民眾自由拿取~
",,
2014/4/22 上午 9:22:42,監督條例比較版+房價篇,小羊,內湖區,環山路二段77巷至109巷8弄,400,4/20/2014,,,
2014/4/22 上午 11:10:43,兩岸監督條例,阿中,苗栗頭份,中華路,250,4/20,店家收文宣約七成  大多是發在店家裡面給大家自行索取,車多的地方比較難發阿…,
2014/4/22 上午 11:43:01,"監督條例比較版,現行服貿影響醫療版",固定兩隻嗡,台南市,勝利路,160,04/22/2014,"
當面發的效果最好，雖然比較慢，但是可以保證大家都會看~

",,
2014/4/22 上午 11:47:22,二類通訊國安問題+先立法後審查立甚麼法,,台南市,赤崁樓,200,4/19,,,
2014/4/22 上午 11:50:12,醫療傳單(二種)+先立法再審查(彩色雙面),,台南市,民德國中,200,4/19,,,
2014/4/22 上午 11:56:03,現行服貿影響醫療版,喵本鼻涕,新北板橋區,溪北路142號-222號,70,22/04/14,沒遇到狀況...順利發送完畢,,
2014/4/22 下午 12:38:32,"國安大漏洞;先立法,再審查",,台南市,台南市東區裕聖里,520,4/20,,,
2014/4/22 下午 12:43:18,先立法再審查(彩色雙面),,台南市,淺草新天地,1200,4/20,,,
2014/4/22 下午 1:29:44,監督條例比較,,新北市土城區,學士路沿途，除了泰隆市社區內之外,400,04/20/2014,,,
2014/4/22 下午 1:35:44,Bee140405,鄲,新北市土城區,青雲路(看守所站牌到地方法院路段),300張,2014/4/22,良好,無,
2014/4/22 下午 1:58:25,"服貿x醫療,服貿如何影響我們的醫療產業,醫療漫畫版",楠希,松山區,"(1)民生東路三段113巷7弄,25弄(2)民權東路三段160巷19弄(3)敦化北路244巷,238巷,222巷",800,2014/04/18,,,
2014/4/22 下午 3:16:31,房價第三彈,Yo,高雄市,民權二路378號,400,4/19/2014,"大樓有四百多戶, 多中鋼公教, 預計還會再發一些",,
2014/4/22 下午 6:34:52,Bee140415H-房價.pdf,林小貝,新北市板橋區,長江路一段136巷,50,4/22/2014,半夜塞信箱,,
2014/4/22 下午 7:14:04,中老年人專用-大字版-服貿對看病有什麼影響 雙面,台灣加油,新竹縣竹北市,全區,13000,04/23/2014,委請派報社派送,,
2014/4/22 下午 7:24:35,Bee140415H-房價.pdf,,基隆市七堵區,明德一路2巷三弄;崇廉街20巷,50,4/21/2014,,,
2014/4/22 下午 7:26:28,服貿上路停看聽 你我權益齊關心,蛇&貓,高雄市,明華國中,60,04/22/2014,"國一的小朋友比較會關心到這樣的議題，相對的大部分傳單都是他們拿的
國二開始的孩子已經開始被補習跟考試摧殘到無力去管這個
今天的這樣發送其實有點心疼，看到他們上完第8堂之後還要拖著沉重的腳步去補習
令人欣慰的是今天發到一半有個小男生衝回來多跟我們要了幾分，還有路邊的伯伯也主動來索取","1.其實放學時段到人家國中門口發這個有被輔導老師或主任趕走的風險，有些學校是完全禁止學生去討論這件事的
2.要說清楚自己不是補習班的人員，他們的一句加油大概可以頂過100的孩子對自己臭臉(笑)
3.或許到高中效果會更好些，不過到是看見一些小朋友對這件事的反應如何",
2014/4/22 下午 9:04:24,第三彈文宣 電信 房價,專業小蜜蜂,台北市內湖區,環山路一段,1000,04/22/2014,順利,,
2014/4/22 下午 9:19:10,"Bee140405-C, Bee140409",Iris,台北市士林區,前港街102巷、前港街100巷、前港街82弄,約150份,22/4/2014,順利,住家密度蠻高，很快就發完了，附近有店家的住家不太敢發…,
2014/4/22 下午 10:26:14,Bee140405,sheep,新北市新莊區,民安東路至民全街,50,4/22/103,"1.社區大樓進不去就沒有發放
2.有的公寓沒有信箱
3.還有野狗及家犬
4.與醫療244份+健保買單100份+服貿是什麼(有熊版)200份一起同時發放","了解郵差的辛苦.......
因為

沒有信箱!!",
2014/4/22 下午 10:27:59,Bee140405,sheep,新北市新莊區,民安東路致民全街,244,4/22/103,"1.社區大樓進不去就沒有發放
2.有的公寓沒有信箱
3.還有野狗及家犬
4.與醫療244份+健保買單100份+服貿是什麼(有熊版)200份一起同時發放
",無,
2014/4/22 下午 11:16:47,醫療版和圖解監督條例,66,台中市,南屯區豐樂里,200,04/22/2014,"把兩張文宣放入信封中彌封發送,投入信箱.因為是幾乎快半夜,人很少,沒有遇到阻礙.","西屯和南屯屬於深藍,發送這種文宣 有一定的風險,請其他小蜜蜂注意.",
2014/4/22 下午 11:25:18,監督條例x醫療雙面,阿囧,新北市汐止區,水源路二段88巷,25,04/22/2014,,,
2014/4/22 下午 11:51:23,服貿爭議Q&A / 支持民間版監督條例,Bee>Z,台北市士林區,中正路335巷、中正路305巷、文林路421巷、大東路、大東路92巷、大東路88巷,200,04/22/2014,,,
2014/4/23 上午 1:57:00,Bee140405+醫療三大問題,lovebee,台北市士林區,雨聲街42巷+中正路305.335巷+文林路421巷,150,4/22/2014,投信箱,,
2014/4/23 上午 4:26:11,"Bee140405、服貿,你服不服?",景道,新北市汐止區,福德路23~37號&46~50號+福德一路1~6號&14號15號+福德一路176巷3弄7弄9弄+佳人佳園社區信箱全部+福德二路55巷1弄+福德二路20~51號&93~110號,400左右,04/23/2014,投遞信箱,"深夜快遞遇到狗,有夠吵也怕被當宵小....野狗很多",
2014/4/23 上午 6:49:27,服貿十問,Lysandre ,台北市大安區,泰順街54、60、62巷、師大路109-119號、師大路93、105巷,350,04/23/2014,投信箱,,
2014/4/23 下午 12:49:04,服貿對看病有什麼影響(單),Daniel Cheng,台北市,文德路101巷到文德捷運站1號出口,150,04/20/2014,採用信箱投遞的方式(A4三折字朝外)，過程中非常順利ＸＤ,原本以為會很多被當廣告直接丟棄，隔天早上去垃圾桶看一張也沒有，反而有其他零星廣告單，讓我自己也有點訝異，有帶回家也好，就姑且相信有看的人是多數(還是被折成紙盒...),
2014/4/23 下午 12:55:07,Bee140409 服貿X醫療,Bing,宜蘭縣五結鄉,隆昌路到清和路,100,4/23/2014,順利發送,,
2014/4/23 下午 1:11:24,服貿對看病有甚麼影響,小丁,新北市新莊區,榮華路二段,200,4/16/2014,投信箱,,
2014/4/23 下午 2:18:32,服貿對看病有什麼影響？https://docs.google.com/file/d/0B29F0JFwjEs_TmpQQ1MwSWREem8/edit,Eva,台北市,天玉街/天玉街103巷/中山北路七段141巷14弄,100,4/23,,,
2014/4/23 下午 3:22:31,總部第二波醫療版文宣、 監督條例 民間版vs政府版比較,家家,新北市土城區,延吉街353、363、373巷、 明德路一段48、60的信箱,一戶兩種文宣，共200份！,103/04/22,很順利！,,
2014/4/23 下午 4:49:02,現行服貿影響醫療版: 建議醫院周邊、老人區塊使用/生病的林玉女士,soso,台中市,火車站前停車格/宮源眼科/火車站前大誌區塊,100,04/23/2014,發DM的時候順手發放，無困難，但希望有用處,繼續努力，聚集每個一點點力量,
2014/4/23 下午 4:58:03,Bee140405B-W,yu-an sh,台北市內湖區,北 民權東路6段 /東 成功路2段 /南 汐止五股高架段 /西 民權東路6段56巷,250,04/11/2014,"(之前忘記填了所以補填)
發送狀況順利但數目不夠，下次可增加為1000份",,
2014/4/23 下午 4:58:08,Bee140415C+Bee140415H,yu-an sh,台北市內湖區,北 民權東路6段 /東 成功路2段 /南 汐止五股高架段 /西 民權東路6段56巷,500+500,04/23/2014,由發送區域看來，數目可再增加為1200左右,"文宣如果折的太薄很容易飛出去>_<""
尤其是有些住戶信箱門不會關，有些掉到樓梯口就浪費了orz",
2014/4/23 下午 7:19:10,Bee140405,Yashin,新北市蘆洲區,重陽二街3號-70號，永安北路8巷，重陽街24號-70號,500,04/23/2014,,,
2014/4/23 下午 9:22:33,監督條例x醫療雙面,阿囧,新北市汐止區,水源二段,40,04/23/2014,,"覺得應該不能擅自進去
所以各拿一張給管理員(東方桂冠，山青水秀，台北小別墅)希望他們能張貼在大樓公佈欄和大家分享(雖然我沒住過大樓，不知道有沒有這種東西,就當做給管理員上班無聊打發時間用吧)

有位管理員伯伯一直問一直問這是什麼東西，
最後跟他說是網友自費印給大家的才收下，小小害怕了一下",
2014/4/23 下午 10:15:41,電信版X房價版(雙面),珍誼,高雄市大社區,中華路(大社夜市),400份,04/19/2014,"4/19大社夜市，約晚上6點還是太早，
據出席的當地小蜜蜂說，7點-8點才是人潮高峰，
下次約這個地點要注意把時間改成晚上7點。
當地小蜜蜂也建議週末上午觀音山下是個好地點，
但可能要約早上6-8點(暈~)
大社夜市車輛可進入，所以發放的小蜜蜂要特別注意安全。
事後有人在""為警察加油""社團上傳我們的傳單，
說是在大社夜市拿到的，
地方小蜜蜂有人認識該貼文者，據說會愛裝流氓，
之後發放時要小心有人惡意找碴。","上一次發完之後我們坐下來稍微交換心得，
建議大家如果結伴出任務，
沿路發放時可以一起大聲說""請關心服貿、保護自己權益""之類的話，
讓民眾注意到有人還是繼續在努力，不要忘了這個議題。
如果是定點發放，則不用大聲說，
因為在定點如果引起注意，
很多民眾反而會刻意繞過發文宣的我們 (囧)
我自己的做法是:保持微笑，雙眼直視對方，
稍稍鞠躬，一邊說:您好、請參考看看、謝謝，一邊遞出文宣。
遞出時文宣正面朝民眾，讓他可以看見文宣上的大標題，
有些人會猶豫一下，看到標題後又轉過來拿(可能是強迫推銷遇多了)
所以不要太早放棄把文宣收回來。
偶爾遇到挑釁或謾罵，不和他們起衝突也不辯論，
大力微笑、鞠躬並大聲說:謝謝指教，然後無視他，
但切記不能背對挑釁的人，以免危險。
會來當面挑釁的人，即便我們辯論贏了，他也不會服氣，
乾脆省下時間心力，
並企圖讓經過的路人感覺我們很理性和平，謾罵的人很討厭。
今晚定點發送的人潮較多，比較沒時間和民眾閒聊，
左營站也因為大家趕車，很少人會停下來問問題。
如果是去大賣場門口，會比較多民眾停下來想跟我們聊聊，
這是很棒的機會。
之前遇過有位大哥說，他每天看電視，
還是看不懂到底利在哪弊在哪，他們真的沒有管道去瞭解。
通常我會先說，服貿一定有利，降低他們的戒心
(才不會覺得我們很偏頗)
接著說，要思考的是，誰受利、誰受弊?
帶入10年獲利120億、政府要編982億補助受衝擊產業這件事，
然後再談到中老年人最在乎的醫療、社會福利
(年輕人的話我會談國安)",
2014/4/23 下午 10:18:19,電信版X房價版(雙面),珍誼,高雄市楠梓區,建楠路到朝陽路(楠梓車站夜市),約4百份,04/20/2014,"4/20楠梓站前夜市，也是晚上6點，
上週也是約6點，這時間人已經很多，以後應該會維持約6點或6點半。
火車站還是很難發，幸好夜市的人友善很多，
今天大家都沒遇到刁難或嗆聲的，
只有我遇到一位先生生氣的要他兒子把傳單還給我。
這個點很適合新手，根本是新手村來著，
沒意外的話，新手村應該會列入我每週的例行行程，
歡迎有志加入小蜜蜂的朋友一起來新手村練功。","發文宣的技巧，大家發現要兩眼直視對方眼睛，
最好加上先生/小姐/同學 等稱謂，讓對方感覺你是""指定""他，
除了更有誠意之外，有的人會因此不好意思拒絕拿",
2014/4/24 上午 4:03:12,"Bee140405或服貿,你服不服?",景道,新北市汐止區,福德二路從麥當勞至187巷的長度+181巷.185巷.187巷132巷.214巷+福德一路300巷+2弄.6弄,400份左右,04/24/2014,投遞信箱,"雨中深夜快遞,沒有遇到困難,有碰到旺旺中時的派報員準備出門工作",
2014/4/24 上午 8:51:35,"電信, 房價",粽子庭,新北市板橋區,松柏街(大條&1巷&15巷)&文化路二段410巷,400張,04/23/2014,正常,"推薦江子翠""正豐影印"" (新北市板橋區仁化街21號1樓, (02)2250-0080, 一~五 9:00-19:00), 百張以上服貿相關, 0.6元/張。",
2014/4/24 上午 8:52:43,"電信, 房價",粽子庭,新北市板橋區,松柏街(大條&1巷&15巷)&文化路二段410巷,400張,04/23/2014,正常,"推薦江子翠""正豐影印"" (新北市板橋區仁化街21號1樓, (02)2250-0080, 一~五 9:00-19:00), 百張以上服貿相關, 0.6元/張。",
2014/4/24 上午 9:44:38,醫療,吉咪,基隆,光華國宅,500,4/23,信箱一切順利,,
2014/4/24 上午 10:02:22,服貿對看病有什麼影響,Nenar,新北市新莊區,中華路一段公園路口到公園路202巷,76份,04/21/2014,投信箱,,
2014/4/24 上午 10:19:03,反服貿=反開放? +健保/醫療,基基,新店區,大同街8巷 大豐路16巷  明德路,400,4/23/2014,放信箱,一切順利,
2014/4/24 下午 2:16:12,第二彈,千葉,台北市中山區,雙城街三巷到七巷,約20~30份,04/22/2014,戶數並不多，較集中的大廈會有禁止發送傳單的標語，為避免反感因此略過,剛上碰上正牌的郵差（笑）跟他笑笑說辛苦了他也回辛苦了，意外的不會遭到排斥？一個人發還蠻緊張的，很怕被住戶碰上驅趕,
2014/4/24 下午 6:05:55,bee140409 反服貿=反開放?,膽小蜂,台北市內湖區,五分街,100,04/22/2014,塞信箱~旁邊有警察局怕怕QQ,,
2014/4/24 下午 6:08:57,Bee140415C Bee140415H,膽小蜂,台北市內湖區,東湖捷運站週邊,400,04/23/2014,"找了內湖區小蜜蜂一起發，人比較多不怕。
拿的機率是40%，回家的路上還是有看到零星的2~3張傳單被丟在地上。","直接發給人還是比較可怕，但是知道自己在做的是正確的事情，似乎就沒有那麼害怕面對人群。在發的過程中有警察來捷運站巡邏，不過並沒有說什麼，好險>""<",
2014/4/24 下午 6:11:01,Bee140415H,膽小蜂,台北市內湖區,康樂街111巷到136巷,400,04/25/2014,丟信箱,,
2014/4/24 下午 10:45:03,Bee140409,sheep,新北市新莊區,民安西路至民本街,共684份,04/24/103,"4/24五分鐘150份+房價200份+醫療406份+法後審查78份+服貿x醫療71份+服貿是什麼(有熊版)77份


以上是今日戰績。","心得：

勇敢地走進去
見面不打笑臉人",
2014/4/25 上午 12:21:11,醫療版、關於服貿你需要知道的事、服貿十問,,花蓮縣,中山路&中正路,143,4/24/2014,,,
2014/4/25 上午 6:45:34,Bee140409M醫療版,蜂起,台北市文山區,木新路三段161~325號.155巷(+四弄).183巷.215巷.243巷(+1弄2弄4弄).303巷.一壽街3巷.17巷.,400,2014/04/25,有一位民眾怒目瞪視，未交流或發生衝突,,
2014/4/25 下午 4:50:47,何謂監督條例彩色漫畫版,k,桃園縣龍潭鄉,干城路、復興路,500,04/25/2014,是住宅區所以都塞信箱,,
2014/4/25 下午 4:52:35,醫療版,k,桃園縣龍潭鄉,干城路、復興路,100,25/4/2014,GOOD,,
2014/4/25 下午 5:07:59,電信版+房價版雙面,nightside,台北市內湖區,內湖路三段141巷到187巷,400,04/25/2014,投信箱而已，遇到一名白髮阿桑問我在發甚麼，我遞給她看並說「我們希望政府簽定一個更安全的服貿協定」，她表示贊同，並憂心沒有下一次總統大選了。,,
2014/4/25 下午 6:55:57,醫療版(單面),夜蜂玄,台北市,農安街(林森北跟中山北中間),約200,2014/4/19,"投信箱,狀況都OK~~
唯獨看到兩間7-11..
鼓起勇氣詢問可否放置任人取閱...都說會造成困擾!!婉拒.
但是有一件值得開心的事..就是我住的管理社區..管委會願意讓我放櫃台一角..任人取閱!!非常開心!!得到極度鼓舞^^大家加油!!!","唯獨看到兩間7-11..
鼓起勇氣詢問可否放置任人取閱...都說會造成困擾!!婉拒.
但是有一件值得開心的事..就是我住的管理社區..管委會願意讓我放櫃台一角..任人取閱!!非常開心!!得到極度鼓舞^^大家加油!!!",
2014/4/25 下午 8:24:48,健保繳納、房價版,Buzz,永和,永貞路到秀朗路,"50,50",4/25/2014,投信箱,一切順利,
2014/4/25 下午 9:27:19,Bee100415H-房價,beebee,新北市蘆洲區,長安街,250,04/23/14,,,
2014/4/25 下午 9:28:54,bee140415C,beebee,新北市蘆洲區,正和街20號到150,150,04/25/14,,,
2014/4/25 下午 9:44:03,雙面，一面監督條例兩版比較漫畫，一面服貿干我們什麼事,蜜蜂,台北市大安區,和平東到金華街之間、金山南二段到羅斯福二段之間住宅區,500,4/22/103~4/25/103,其實不只這個版本啦，四月中到現在發了三個版本，只是不知道為什麼回報都沒有出現在上面…總之這一大片住宅區我差不多第二輪（不同文宣）投完信箱，都半夜去沒什麼人，比較不用緊張，店家也有丟。昨天有移動到永康街去丟一些，如果那邊沒人負責，之後可以過去。,只有遇到一丟進去屋內的狗狂叫被嚇死，其他都還好。,
2014/4/25 下午 11:40:59,Bee140409,Iris,台北市士林區,後港街134巷、華齡街2弄14巷、華齡街2弄35巷、華齡街2弄29巷、華齡街40巷、華齡街40巷12弄,約250份,4/25/2014,晚上投信箱,有戶人家門口有隻不會叫的狗趴著，嚇了一跳,
2014/4/26 上午 12:20:36,Bee140405BW,隨意,台北市文山區,指南路二段45巷、新光路一段31巷,150~200,2014/4/26,,可先在家有空把文宣摺好,
2014/4/26 上午 2:09:37,20140417081118000&服貿x醫療140405-2,小咩媽媽,高雄市苓雅區,民權一路84巷 泉州街 民權一路66巷 青年一路10巷 廈門街8巷,400,04/22/2014,,,
2014/4/26 上午 2:12:50,20140422_工作權.2  20140422_健保負債連連,小咩媽媽,高雄市苓雅區,福建街377巷 民權一路120巷 民權一路96巷 福建街361巷 五福一路光華一路至民權一路之間  ,130,04/25/2014,,,
2014/4/26 上午 2:35:43,勞工權益&健保繳納,小喬,台北市中山區,新生北路三段3巷&新生北路三段11巷,200,4/26/2014,"半夜投信箱很順利
本來還怕會有狗好險沒有",有的信箱太高投不到...ORZ,
2014/4/26 上午 2:54:09,電信版,nightside,台北市內湖區,碧湖公園,80張,04/25/2014,,"在碧湖公園定點當面發放，願意拿的人不到一半，但感覺大多是因為本來就不想拿傳單，不是因為內容的關係。選在比較亮的燈下發放，路人接近時就先拿在手上讓他們能瞄到內容，有時候本來不想拿的人，反而因為聽到「國安問題請您關心」而拿了。
有少數民眾對我說加油，有一個年輕的工程師問我資料來源，稍微聊一下得知他也想印了去高雄發，於是留資料給他，回家後邀請他加入小蜜蜂社團。",
2014/4/26 上午 3:04:53,醫療+電信+房屋,P,基隆市,信二路3號-231號(單號only),200以上,04/25/2014,晚上十點多開始延路投信箱/塞鐵門收信孔(有些是店家正準備收攤休息，就沒有打擾)，前半路段投醫療版，後半投電信+房屋版(一起)。,,
2014/4/26 上午 7:39:08,服貿醫療版,小藍,新北市中和區,民享街86巷及莒光路,450,4/26/2014,"早上六點就出門去發傳單
因為沒什麼人，所以過程還蠻順利的XD
",,
2014/4/26 上午 10:32:39,圖解服貿x20+Bee100409及割蘭尾正反面*176+Bee140409-M*202,Jice,新北市樹林區,樹德街(近樹人家商位置)、樹德街136巷、樹人家商對面住戶、啟智街44巷、啟智街(與44巷銜接至文德街)、復興路229巷、一小段中興街,共398張,04/26/2014,"樹德街有兩棟樓因外面大門鎖住，住戶信箱在裡面，無法進入。
有些信箱投進去就掉在地上了，這點要注意信箱的新舊程度。(通常都是3.4樓層左右的公寓，然後門都不關的，所以掉下來的，都會進入裡面拿起來投別處)
",,
2014/4/26 下午 1:16:38,Bee140409M,local,新北市板橋區,翠華街6巷~12巷,300,04/26/2014,"翠華街6巷1~30號未發放
傳單已發完",,
2014/4/26 下午 3:58:01,醫療版文宣+民間版vs政府版比較,CYI,土城區,中央路三段235巷、249巷、281巷 永平街+永安街115巷+中央路三段260~282號+曾靜怡 土城中央路四段9~25號,400,04/26/14,"住家信箱
遇到一區有狗的 一直叫逼我離開所以有大概10幾戶沒有投到","狗狗真的好兇阿><
注意安全  下次會帶狗餅乾的:P",
2014/4/26 下午 4:47:04,彩色版 電信、房價,Gipo,新北市,學府路100、102、73、53、33巷,400,4/26/103,多發了兩巷,回報單上傳不太上去?,
2014/4/26 下午 4:43:49,彩色版 電信、房價,Gipo,新北市,學府路100、102、73、53、33巷,400,4/26/103,多買了200份，所以又多發了兩巷,這次臉皮比較厚了...,
2014/4/26 下午 6:21:33,先立法，再審查,阿蓁,苗栗縣竹南鎮,光復路>華東街>1/2條自強街>1/2條立達街,80,4/26/2014,無感最多、支持和反對幾乎沒有,雨天很麻煩,
2014/4/26 下午 6:28:18,Bee140409-M ,Cbee,新北市土城區,延平街以及延平街33巷,300,4/26/2014,"投信箱，投到一半下大雨，忘了帶傘去便利商店避雨~
等雨停後繼續投。","公寓信箱前有時候會停放機車，比較難擠進去投，但是大部分還是能夠成功投遞。
今天剛好碰到一次機車停到完全沒有縫隙的...所以那幾戶就沒有投...",
2014/4/26 下午 10:35:57,20140422_ 健保負債連連/Bee140415C-電信/圖解兩岸監督條例,ikeep,台中市大雅區,神林南路,各200份,04/26/2014,"直接投遞住宅區的集合式信箱比較有效率。
碰到在外乘涼的民眾直接遞送，不避諱。一切順利～
","有阿伯問：派送這個有沒有錢？--->知道是自發性的，相當開心。
也有阿姨說：電視上看的夠多了，不需要。

平時沒有機會在家鄉這樣派報，感覺很親切。",
2014/4/26 下午 11:36:00,房價版,陳威翰,台北市內湖區,新明路,100份,4/26/2014,普通，一般店家都會拿,"今天發傳單遇到遇到一位認識的阿姨，我:阿姨你好，這個關於今後房價會面對到的問題，請你參考看看。
然後那位阿姨雖然收下了，但是卻不假思索的把她塞進資源回收桶裡...
我想表達的問題是，雖然我們要以不明顯的方式發放文宣，但是一般民眾也沒有必要認真回應我們的訴求，如果直接一點表明我們立場，就算要舌戰也只少可以引起回響，夥伴們 你們的想法呢",
2014/4/27 上午 12:46:52,第三版,,台北市內湖區,"成功路四段,294巷,大湖山莊街,圍起來的區域",600份,2014/04/27,,,
2014/4/27 上午 3:13:37,20140409圖解兩岸監督條例(正面),Yang,高雄市三民區,民信路+民禮路,大約100,4/27/2014,投信箱，安全的投完了。,"半夜發放多增些氣氛，一直聽到奇怪的叩叩聲，又是在老舊的公寓群，且燈很暗......忘記帶手電筒。

發放過程有聽到類似腳步聲的聲音，但等很久什麼人都沒看到，發完快閃吧!",
2014/4/27 上午 10:50:18,"Bee140415C, Bee140415H",Bee>Z,台北市士林區,福壽街、中正路212巷、福榮街 ,200,04/26/2014,,,
2014/4/27 上午 11:29:35,第四彈 勞工健保,hung,台北市文山區,萬美街一段19巷,200,4/27/2014,順利,塑膠指套好用,
2014/4/27 下午 12:26:29,先立法，再審查+漫畫版兩岸監督條例,阿蓁,苗栗縣竹南鎮,延平路>立達街>建國路,62,4/27/2014,無感最多、反對1人、支持0人、未收下者較支持、反對多一些,"立達街79巷的警衛說扯政黨利用, 不要怕競爭
接近中午好熱
11點半前就有人在吃午飯了",
2014/4/27 下午 1:54:23,監督條例Bee140409、割蘭尾正反面74張+醫療Bee140409-M 98張+圖解服貿Bee140405 250張。,Jice,新北市樹林區,啟智街(樹小側門街道至正門)、啟智街32巷1弄、42巷、文德街2巷、樹小前方育英街、育英街165巷至文化街,共402張,04/27/2014,"樹小前方有兩條路，一條沒有住戶，停車場及店家部分無發放。
樹小對面住戶，有寫說推銷及傳教不得打擾的字樣。(但我還是發了，有看到信箱內有其他的傳單)不確定是否有問題之類的。
小部分信箱內的傳單很多，所以沒發放(感覺上沒人清)。

","遇到人還是令人感到恐懼。只想避開人發文宣。
有些獨棟的住宅，找不到信箱。→沒放。
有些小公寓信箱則太高，我投不到。→沒放。",
2014/4/27 下午 4:43:51,2013.10.2 兩岸服貿公聽會第三場(醫療部分)摘要,采寧,新北市汐止區,湖前街濱湖B區的A、B棟,78,2014/4/13,投遞進信箱,,
2014/4/27 下午 5:40:51,服冒到底乾我什麼事,BeeTwo,台南市,湖美街到西賢街,300,4/27/2014,"良好，遇到路人或坐在門口乘涼的會當面給，多半會當場拿起來看
效果不錯，希望大家也多多提起膽子當面給人",榮民老杯杯不拿  我好難過,
2014/4/27 下午 8:05:35,Bee140409M醫療版,theren,台北市松山區,健康路8巷,100,04/27/2014,投信箱，順利,,
2014/4/27 下午 9:02:04,服貿對看病有什麼影響+民間版政院版監督條例比較,mi,高雄市苓雅區,廣東一街91巷+69巷 右轉廣州一街部分,約100份,4/27/2014,下午兩人發送～半小時內發完，蠻順利的！但是路上有遇到阿姨一直看我就跟她微笑點頭，不過他看到就無表情囧XD  還是會有點小心虛～但一直跟自己說要放輕鬆:-),,
2014/4/27 下午 9:59:23,民間版vs政府版(外框)_fix ,Cbee,新北市土城區,延平街69巷、延平街62巷1弄、2弄、4弄,300,4/27/2014,下午時段，投遞住家信箱，順利。,"一開始投遞時會有點害怕，後來多幾次投遞經驗以後就習慣了。
可以戴口罩，投遞時遇到住戶進出或有人經過以平常心對待，附近民眾其實不太會注意。
如果在較不熟悉的路段投遞一定要先看地圖(如果能印下來更好，遇到狀況可以隨時查閱)，有的巷弄常常會跳來跳去，一下是OO路1巷，下一個路口就跳到XX路6巷，沒有地圖很容易混亂，也比較記不住投的順序。
",
2014/4/27 下午 10:01:59,"服貿x醫療,醫療漫畫版,服貿如何影響我們的醫療產業",Lambo,大同區,"(1)哈密街39巷,63巷,59巷2弄&38弄",400,2014/04/24&26,,,
2014/4/27 下午 10:02:04,服貿干我什事,evelyn,高雄岡山,本洲區附近+岡山火車站附近,300,2017/04/27,放信箱，遇到路人發給,"本洲區獨棟房子多，很散，要走很久
沒啥反對聲音，但有很多看不懂字的老人，有稍微用台語跟他們解釋一下健保給付台人和大陸人的差異，他們也說反正政府就是太誇張
還有一個奶奶要分我麵包，因為我給他孫子兩張熊圖貼紙，但我請他關心國家大事就好

菜市場發送有被拒絕
放一本實報出版的""反什麼服貿""在眼科，在眼科的周刊夾幾張傳單
麥當勞也夾幾張傳單
發給小吃店家，並鼓起勇氣問能否放傳單，他說不要放太多
所以我一個桌子放一張",
2014/4/27 下午 10:11:54,監督條例x醫療雙面,阿囧,新北市汐止區,水源路一段291巷,50,04/27/2014,,,
